n m p block_size prop_max_diff prop_speedup prop_cpu_time prop_gpu_time average_max_diff average_speedup average_cpu_time average_gpu_time
128 128 1000 128 1.55e-15 9.79 3.93e-02 4.01e-03 1.22e-15 0.15 1.30e-05 8.63e-05
256 256 1000 128 2.89e-15 13.79 1.33e-01 9.63e-03 2.11e-15 0.65 6.95e-05 1.06e-04
512 512 1000 128 4.11e-15 17.36 5.09e-01 2.93e-02 2.22e-15 2.11 2.42e-04 1.15e-04
1024 1024 1000 128 5.22e-15 17.93 2.01e+00 1.12e-01 2.66e-15 6.83 9.14e-04 1.34e-04
2048 2048 1000 128 6.33e-15 16.64 7.99e+00 4.80e-01 2.65e-14 16.74 3.48e-03 2.08e-04
4096 4096 1000 128 8.77e-15 13.42 3.26e+01 2.43e+00 3.49e-14 28.28 1.38e-02 4.90e-04
8192 8192 1000 128 1.42e-14 13.65 1.31e+02 9.57e+00 1.19e-13 34.53 5.59e-02 1.62e-03
15360 15360 1000 128 2.49e-14 13.09 4.47e+02 3.41e+01 1.35e-13 35.79 1.94e-01 5.41e-03
256 256 1000 256 2.89e-15 13.66 1.28e-01 9.36e-03 2.11e-15 0.92 7.28e-05 7.92e-05
512 512 1000 256 4.11e-15 17.74 5.08e-01 2.86e-02 2.22e-15 2.13 2.42e-04 1.14e-04
1024 1024 1000 256 5.22e-15 18.45 2.00e+00 1.09e-01 2.66e-15 6.47 9.15e-04 1.42e-04
2048 2048 1000 256 6.33e-15 21.94 8.00e+00 3.65e-01 2.65e-14 16.49 3.48e-03 2.11e-04
4096 4096 1000 256 8.77e-15 16.39 3.23e+01 1.97e+00 3.49e-14 27.63 1.39e-02 5.03e-04
8192 8192 1000 256 1.42e-14 17.04 1.32e+02 7.75e+00 1.19e-13 34.24 5.52e-02 1.61e-03
15360 15360 1000 256 2.49e-14 16.48 4.48e+02 2.72e+01 1.35e-13 35.95 1.94e-01 5.39e-03
512 512 1000 512 4.11e-15 17.89 5.07e-01 2.83e-02 2.22e-15 2.07 2.39e-04 1.15e-04
1024 1024 1000 512 5.22e-15 21.02 2.00e+00 9.53e-02 2.66e-15 5.92 9.00e-04 1.52e-04
2048 2048 1000 512 6.33e-15 22.57 8.00e+00 3.55e-01 2.64e-14 15.00 3.48e-03 2.32e-04
4096 4096 1000 512 8.77e-15 18.02 3.21e+01 1.78e+00 3.49e-14 28.13 1.39e-02 4.95e-04
8192 8192 1000 512 1.42e-14 19.35 1.33e+02 6.89e+00 1.19e-13 34.00 5.50e-02 1.62e-03
15360 15360 1000 512 2.49e-14 18.85 4.47e+02 2.37e+01 1.35e-13 35.92 1.93e-01 5.37e-03
