n m p block_size prop_max_diff prop_speedup prop_cpu_time prop_gpu_time average_max_diff average_speedup average_cpu_time average_gpu_time
128 128 1000 128 3.40e-06 6.16 1.42e-02 2.30e-03 2.15e-06 0.20 1.62e-05 8.03e-05
256 256 1000 128 6.62e-06 15.81 4.46e-02 2.82e-03 4.23e-06 0.84 6.83e-05 8.16e-05
512 512 1000 128 1.10e-05 29.00 1.55e-01 5.33e-03 6.91e-06 2.70 2.27e-04 8.40e-05
1024 1024 1000 128 1.53e-05 23.11 5.77e-01 2.50e-02 9.12e-06 8.48 8.50e-04 1.00e-04
2048 2048 1000 128 1.60e-05 24.38 2.26e+00 9.27e-02 8.11e-06 21.75 3.38e-03 1.55e-04
4096 4096 1000 128 1.74e-05 19.49 9.06e+00 4.65e-01 7.75e-06 43.79 1.36e-02 3.12e-04
8192 8192 1000 128 7.33e-05 20.05 3.61e+01 1.80e+00 8.43e-06 60.36 5.39e-02 8.92e-04
15360 15360 1000 128 8.15e-05 19.85 1.25e+02 6.29e+00 7.87e-06 59.20 1.90e-01 3.21e-03
256 256 1000 256 6.62e-06 17.02 5.52e-02 3.24e-03 4.23e-06 0.91 6.11e-05 6.73e-05
512 512 1000 256 1.10e-05 27.88 1.55e-01 5.55e-03 6.91e-06 2.35 2.27e-04 9.62e-05
1024 1024 1000 256 1.53e-05 24.32 5.76e-01 2.37e-02 9.06e-06 8.52 8.57e-04 1.01e-04
2048 2048 1000 256 1.60e-05 26.05 2.27e+00 8.71e-02 8.17e-06 20.10 3.38e-03 1.68e-04
4096 4096 1000 256 1.74e-05 26.04 9.06e+00 3.48e-01 7.81e-06 44.75 1.35e-02 3.02e-04
8192 8192 1000 256 7.33e-05 26.96 3.59e+01 1.33e+00 8.43e-06 61.59 5.41e-02 8.79e-04
15360 15360 1000 256 8.15e-05 26.59 1.25e+02 4.70e+00 7.87e-06 65.20 1.89e-01 2.91e-03
512 512 1000 512 1.10e-05 20.17 1.53e-01 7.60e-03 6.91e-06 2.35 2.26e-04 9.63e-05
1024 1024 1000 512 1.53e-05 23.17 5.79e-01 2.50e-02 9.06e-06 7.31 8.52e-04 1.17e-04
2048 2048 1000 512 1.60e-05 26.34 2.26e+00 8.57e-02 8.11e-06 20.41 3.38e-03 1.65e-04
4096 4096 1000 512 1.74e-05 26.46 9.09e+00 3.43e-01 7.81e-06 43.73 1.36e-02 3.12e-04
8192 8192 1000 512 7.33e-05 27.18 3.62e+01 1.33e+00 8.43e-06 60.71 5.40e-02 8.89e-04
15360 15360 1000 512 8.15e-05 27.23 1.25e+02 4.58e+00 7.90e-06 66.41 1.90e-01 2.86e-03
